ensgene,length,SRR493366,SRR493367,SRR493368,SRR493369,SRR493370,SRR493371
ENSG00000205464,7185,19,17,30,14,22,18
ENSG00000174695,4908,1757,2018,2459,2374,2872,2997
ENSG00000152422,2676,138,158,195,182,222,180
ENSG00000038427,14831,6888,7159,8752,18487,20299,23977
ENSG00000145681,6956,0,0,4,5,7,10
ENSG00000164176,5738,2497,2927,3774,4513,5196,6804
ENSG00000127184,1993,1207,1333,1671,1311,1424,1609
ENSG00000145715,5232,1478,1736,2286,2214,2402,2918
ENSG00000134480,4660,323,336,487,372,440,538
ENSG00000164180,9598,115,139,181,189,214,224
ENSG00000081189,10736,85,106,90,49,82,67
ENSG00000153140,3106,100,109,126,78,88,102
ENSG00000176055,5676,96,119,128,76,75,91
ENSG00000113356,4019,86,103,135,58,69,83
ENSG00000176018,4459,555,597,830,861,867,964
ENSG00000164199,23499,3,2,2,8,7,7
ENSG00000113369,4934,389,544,671,1143,1472,1704
ENSG00000175745,4201,1353,1567,2031,1962,2115,2647
ENSG00000113391,5071,402,463,519,466,601,656
ENSG00000248483,6832,0,0,0,0,0,0
ENSG00000185261,10415,25,37,29,38,36,36
ENSG00000133302,7185,88,96,121,77,71,87
ENSG00000175471,12089,11,11,9,163,131,243
ENSG00000153347,2495,0,0,0,0,0,0
ENSG00000198677,8092,2536,2757,3512,2671,3270,3595
ENSG00000164291,4314,420,513,620,362,439,482
ENSG00000178015,2065,2,3,4,12,4,5
ENSG00000175449,5062,11,2,1,4,5,4
ENSG00000145757,2811,7,8,10,4,2,10
ENSG00000164292,8833,2461,3008,3559,3073,3662,4241
ENSG00000173221,6508,1031,1198,1364,953,1157,1277
ENSG00000118985,7246,2769,3253,4117,1882,2219,2260
ENSG00000175426,5307,1,0,1,0,2,0
ENSG00000153113,12448,2698,3213,3903,2107,2564,2804
ENSG00000164307,7945,509,576,698,641,728,821
ENSG00000164308,7422,353,351,461,439,444,483
ENSG00000113441,15266,460,534,647,735,808,870
ENSG00000145721,4115,0,0,0,0,1,0
ENSG00000058729,5502,412,470,615,326,404,439
ENSG00000174136,6671,2092,2773,3476,1199,1581,1565
ENSG00000279232,2904,2,5,4,4,4,5
ENSG00000153922,10437,568,617,813,560,671,706
ENSG00000174132,1416,149,192,209,288,309,421
ENSG00000113532,7794,3,1,9,5,5,9
ENSG00000173930,5334,0,0,0,0,0,0
ENSG00000205359,2952,0,0,0,0,0,0
ENSG00000145730,8846,2754,2894,3830,2621,3067,3400
ENSG00000145723,4182,54,63,81,57,64,61
ENSG00000145725,17270,983,1143,1329,1074,1259,1409
ENSG00000181751,3568,222,276,351,111,131,176
ENSG00000112874,4304,104,109,138,73,105,109
ENSG00000184349,5703,57,94,105,132,154,173
ENSG00000145743,8125,263,347,446,465,547,688
ENSG00000151422,13614,533,706,790,585,709,813
ENSG00000198961,5217,2242,2620,3320,1709,2109,2222
ENSG00000112893,11815,2474,2806,3499,6285,6996,8945
ENSG00000186952,9563,1,3,3,4,5,6
ENSG00000164209,8283,822,1003,1228,1316,1570,1834
ENSG00000145777,4282,100,106,112,173,261,280
ENSG00000134987,7656,1008,1144,1356,1778,2099,2343
ENSG00000152495,13910,151,159,196,209,218,281
ENSG00000164211,5684,497,641,753,665,829,937
ENSG00000134986,9337,2271,2520,3155,2806,3836,3683
ENSG00000129595,8582,0,3,0,2,3,4
ENSG00000134982,12440,1200,1256,1690,734,802,944
ENSG00000258864,694,0,0,0,0,0,0
ENSG00000272869,2174,1,0,1,0,1,0
ENSG00000153037,3632,128,174,210,161,209,244
ENSG00000129625,4230,1724,2033,2592,2584,2888,3288
ENSG00000212643,1673,0,0,0,0,2,0
ENSG00000172795,9951,269,280,357,1314,1426,1732
ENSG00000171444,10746,474,481,637,1912,2107,2464
ENSG00000212122,2478,0,0,0,0,0,0
ENSG00000047188,10816,462,477,607,487,617,616
ENSG00000080709,3864,209,205,276,241,321,287
ENSG00000152503,6113,8,3,3,13,3,11
ENSG00000164219,10064,252,313,400,186,248,257
ENSG00000164221,3289,134,131,194,138,174,176
ENSG00000145780,5816,498,518,698,440,535,621
ENSG00000251201,3728,0,1,4,2,3,3
ENSG00000243414,3244,4,6,4,3,3,2
ENSG00000134970,3894,2085,2518,3036,1732,2175,2329
ENSG00000129596,2189,62,57,94,81,84,98
ENSG00000145782,8888,810,1002,1203,1298,1439,1666
ENSG00000177879,3198,1055,1394,1652,1194,1345,1501
ENSG00000280329,63,0,0,0,0,0,0
ENSG00000172901,6636,3,4,2,5,5,3
ENSG00000268714,420,0,0,0,0,0,0
ENSG00000268223,1630,0,0,0,0,0,0
ENSG00000145781,2464,218,260,344,178,211,222
ENSG00000092421,10956,55,60,87,89,116,133
ENSG00000169570,4617,37,75,75,43,48,62
ENSG00000172869,13680,611,702,825,655,751,809
ENSG00000145779,9591,214,218,273,179,185,242
ENSG00000133835,8231,977,1110,1379,1010,1120,1252
ENSG00000164334,1378,0,0,0,0,0,0
ENSG00000184838,2274,272,347,410,1605,1679,2349
ENSG00000181867,879,0,0,0,0,0,0
ENSG00000151304,3111,177,189,220,207,216,253
ENSG00000113083,5468,18671,21418,27101,9632,12832,12022
ENSG00000164185,2364,4,6,10,2,4,0
ENSG00000064692,7325,117,147,209,168,177,205
ENSG00000205302,4254,582,658,813,483,589,600
ENSG00000064652,3550,214,249,305,130,144,143
ENSG00000168938,2098,408,520,567,492,611,686
ENSG00000061455,9350,54,38,45,16,28,16
ENSG00000168944,6057,336,408,457,515,603,647
ENSG00000151292,5000,627,735,853,840,1027,1136
ENSG00000168916,6922,331,378,453,746,809,975
ENSG00000155324,5051,247,281,338,123,146,163
ENSG00000164904,6911,610,714,851,486,568,616
ENSG00000164902,4319,894,959,1241,818,1004,1154
ENSG00000196900,476,0,0,0,0,1,1
ENSG00000113368,3633,581,707,921,142,182,154
ENSG00000173926,5179,92,111,166,61,64,77
ENSG00000164241,7190,10,11,10,3,5,8
ENSG00000145794,9007,0,0,0,0,1,0
ENSG00000164244,9064,1897,2205,2737,2685,3222,3483
ENSG00000205279,2105,0,0,0,0,0,0
ENSG00000064651,10664,459,525,708,601,764,911
ENSG00000138829,13196,3489,4056,4341,3521,4141,4294
ENSG00000113396,3493,0,0,3,11,10,13
ENSG00000066583,1940,142,152,183,138,142,187
ENSG00000145808,5408,37,56,50,160,249,220
ENSG00000186367,2354,0,0,0,0,1,0
ENSG00000198108,3938,56,71,98,46,59,73
ENSG00000169567,1936,1634,1736,2180,2087,2361,2637
ENSG00000186687,6351,335,337,417,189,222,284
ENSG00000158985,6024,444,583,658,666,773,934
ENSG00000158987,11143,87,102,125,101,106,136
ENSG00000273217,6393,0,0,0,0,0,0
ENSG00000217128,7942,510,565,686,1081,1171,1421
ENSG00000239642,1671,0,0,1,0,0,0
ENSG00000281938,3126,0,0,0,0,0,0
ENSG00000164398,13013,0,0,0,0,0,2
ENSG00000164399,1050,0,0,0,0,0,0
ENSG00000164400,787,1,2,4,2,1,3
ENSG00000072682,8502,2444,2705,3595,2833,3056,3241
ENSG00000131435,3192,1068,1307,1674,966,1042,1224
ENSG00000197208,2688,91,118,125,291,287,391
ENSG00000197375,12788,72,83,78,44,67,50
ENSG00000197536,7217,27,23,18,61,79,90
ENSG00000125347,7799,249,318,462,993,920,1279
ENSG00000113525,1587,0,0,0,0,0,0
ENSG00000113522,9771,632,689,844,918,986,1160
ENSG00000169194,2887,0,0,0,0,0,0
ENSG00000113520,818,0,1,0,0,0,0
ENSG00000131437,6860,236,288,390,415,492,662
ENSG00000205089,3162,0,0,1,0,0,0
ENSG00000164402,7711,1334,1515,1940,1297,1433,1613
ENSG00000198944,3211,1,0,0,0,0,0
ENSG00000164403,4420,137,137,195,150,180,188
ENSG00000164404,3279,3,1,3,1,1,2
ENSG00000164405,1472,670,699,904,765,863,1025
ENSG00000164406,2405,6,6,6,9,5,4
ENSG00000072364,11297,3146,3739,4053,3359,4122,4543
ENSG00000155329,2559,135,128,180,197,207,269
ENSG00000170606,5156,3437,4082,5077,2919,3340,3775
ENSG00000053108,6734,3,1,1,1,0,1
ENSG00000113583,2422,1160,1345,1698,2109,2456,2844
ENSG00000213585,3163,4025,4515,5637,3639,4017,4591
ENSG00000081059,10063,101,111,141,172,157,201
ENSG00000113558,12771,2172,2462,3200,3130,3613,4178
ENSG00000272772,483,0,0,0,0,0,0
ENSG00000113575,5661,1534,1852,2259,1175,1499,1527
ENSG00000006837,3057,6,9,7,20,4,9
ENSG00000119048,3291,636,727,836,1209,1381,1591
ENSG00000237190,1757,220,251,282,175,176,218
ENSG00000043143,9877,584,656,881,710,673,842
ENSG00000152700,10963,746,848,1077,844,957,1093
ENSG00000113615,7201,1289,1463,1879,1385,1643,1992
ENSG00000164615,2221,419,492,533,624,684,813
ENSG00000145833,9222,1060,1317,1593,879,1043,1161
ENSG00000181904,5741,1331,1539,1904,1940,2352,2742
ENSG00000113621,5265,942,1081,1286,1216,1333,1566
ENSG00000132570,7171,49,73,87,52,78,71
ENSG00000152705,1581,2,2,0,2,4,3
ENSG00000069011,3511,1096,1182,1561,2452,2583,3088
ENSG00000113648,17730,1298,1508,1916,2333,2550,3071
ENSG00000251380,3135,0,0,0,0,0,0
ENSG00000255833,5923,0,0,0,0,0,0
ENSG00000181965,1668,0,0,0,0,0,0
ENSG00000145824,1975,0,3,0,3,0,1
ENSG00000145832,4966,0,0,0,0,0,0
ENSG00000145839,591,0,0,0,0,0,0
ENSG00000145826,2175,1,0,0,0,0,0
ENSG00000120708,7810,41444,46511,59404,78265,88572,105066
ENSG00000113658,8779,1152,1203,1616,1382,1465,1686
ENSG00000069018,3185,0,0,0,0,0,0
ENSG00000152377,6174,903,992,1274,1431,1589,1858
ENSG00000146021,11854,34,48,41,29,29,30
ENSG00000177733,8726,1837,2097,2655,2354,2710,3189
ENSG00000120729,2893,1,1,1,0,1,3
ENSG00000078795,4653,0,0,0,1,1,0
ENSG00000031003,6808,620,765,956,877,991,1156
ENSG00000061492,2089,0,0,0,0,0,1
ENSG00000112981,2392,7,3,6,3,8,7
ENSG00000112983,7046,577,654,852,616,681,804
ENSG00000112984,3958,787,998,1309,106,124,104
ENSG00000094880,4618,485,581,678,346,390,386
ENSG00000146013,2039,0,1,0,0,0,1
ENSG00000158402,3047,60,101,113,16,13,12
ENSG00000120709,7051,779,832,1167,777,818,962
ENSG00000120733,7961,996,1056,1289,1057,1086,1284
ENSG00000132563,3284,413,446,562,260,297,315
ENSG00000120738,3138,1699,2200,2963,2456,3790,3955
ENSG00000120705,4601,2562,3054,3789,2280,2900,3252
ENSG00000113013,4751,3917,4412,5612,2799,3344,3744
ENSG00000044115,8830,6414,7427,9671,8211,9402,10718
ENSG00000146006,6095,23,20,22,17,17,27
ENSG00000120725,4011,540,663,863,641,752,815
ENSG00000280987,6640,24,24,29,16,27,24
ENSG00000015479,11772,17,7,23,27,35,30
ENSG00000120727,3158,450,542,729,593,598,807
ENSG00000170482,3203,2,4,5,5,9,5
ENSG00000170476,2273,0,0,0,0,0,0
ENSG00000228672,5122,32,26,42,47,36,56
ENSG00000170469,1204,21,29,28,23,21,27
ENSG00000170464,6499,303,329,384,383,445,543
ENSG00000279686,1002,0,0,0,0,0,0
ENSG00000249751,1035,2,0,1,0,1,1
ENSG00000184584,3850,490,619,778,383,461,494
ENSG00000131508,3556,1032,1306,1519,1251,1397,1619
ENSG00000171604,3852,604,712,918,491,637,673
ENSG00000146005,4513,4,2,0,1,0,0
ENSG00000158458,4520,2,0,3,3,3,1
ENSG00000185129,12185,469,632,614,414,421,504
ENSG00000182700,3458,98,86,91,61,57,68
ENSG00000120306,2185,143,185,248,328,279,432
ENSG00000113068,2156,972,1095,1361,854,993,1133
ENSG00000281227,48,0,0,0,0,0,1
ENSG00000113070,3018,529,604,764,185,256,208
ENSG00000113073,3635,0,0,0,0,0,0
ENSG00000131503,11124,7,12,13,16,14,16
ENSG00000254996,11385,13,9,22,9,11,23
ENSG00000213523,3454,593,780,880,705,811,907
ENSG00000243056,691,1,1,1,2,0,1
ENSG00000113108,4784,49,48,67,79,73,92
ENSG00000176087,4023,867,1023,1328,526,628,721
ENSG00000170458,1886,3,7,5,6,7,4
ENSG00000131495,1488,220,271,320,312,354,363
ENSG00000113119,3502,34,39,51,21,23,34
ENSG00000113141,4095,1056,1262,1533,1151,1211,1465
ENSG00000120314,7675,396,441,562,464,507,601
ENSG00000256453,1605,0,0,0,0,0,0
ENSG00000170445,8436,1331,1600,1961,1260,1410,1543
ENSG00000112855,3408,293,342,453,379,442,503
ENSG00000146007,1812,747,816,1018,699,743,847
ENSG00000204970,5595,2,3,1,1,2,4
ENSG00000204969,6054,0,1,1,0,1,5
ENSG00000255408,7460,2,3,3,10,6,5
ENSG00000204967,13440,1,0,1,9,8,5
ENSG00000204965,7114,0,0,0,0,0,1
ENSG00000081842,6133,0,1,1,4,2,6
ENSG00000204963,5788,2,8,4,17,16,24
ENSG00000204962,5482,0,2,1,0,0,1
ENSG00000204961,10075,1,0,0,1,0,0
ENSG00000250120,15224,3,4,5,12,9,8
ENSG00000249158,6284,0,0,0,0,0,0
ENSG00000251664,5454,0,0,0,0,0,1
ENSG00000239389,5354,0,0,0,0,0,0
ENSG00000248383,6943,0,0,0,0,1,2
ENSG00000243232,6318,0,0,0,0,0,0
ENSG00000171815,8210,0,0,0,0,0,0
ENSG00000112852,4126,11,17,17,94,76,106
ENSG00000113205,4822,2,2,5,15,20,18
ENSG00000081818,3825,2,1,1,4,3,6
ENSG00000113209,3408,8,19,12,41,36,45
ENSG00000113211,3266,8,8,19,25,22,26
ENSG00000113212,3765,17,15,23,77,77,80
ENSG00000120322,2740,2,8,7,22,23,13
ENSG00000272674,5001,16,20,39,87,88,97
ENSG00000279068,631,0,0,0,0,1,1
ENSG00000177839,4415,6,6,12,31,46,39
ENSG00000120324,3304,19,12,24,56,57,92
ENSG00000197479,4198,1,1,5,19,24,28
ENSG00000120328,3875,4,9,5,13,14,33
ENSG00000187372,5061,34,40,52,74,103,106
ENSG00000120327,4828,29,37,41,82,99,126
ENSG00000279983,548,0,0,0,0,0,0
ENSG00000113248,4017,16,23,22,62,86,92
ENSG00000178913,2723,1468,1773,2169,2105,2355,2729
ENSG00000120329,1417,1,0,0,0,0,0
ENSG00000204956,6252,35,49,45,74,76,123
ENSG00000081853,6724,145,156,182,234,256,280
ENSG00000254245,4876,48,61,87,123,112,131
ENSG00000254221,4773,48,49,54,137,139,177
ENSG00000262576,4887,162,206,236,324,332,412
ENSG00000253910,4769,61,74,111,202,170,229
ENSG00000253485,5733,47,61,86,114,115,153
ENSG00000262209,4757,75,84,95,138,121,182
ENSG00000253731,7910,130,151,195,224,231,250
ENSG00000253537,5443,124,132,183,213,219,263
ENSG00000253953,6906,181,184,219,270,297,391
ENSG00000253767,8661,11,23,14,16,21,32
ENSG00000276547,4851,607,707,916,1130,1229,1519
ENSG00000261934,4749,46,44,62,67,61,90
ENSG00000253305,6782,24,36,59,75,68,99
ENSG00000253846,6643,123,129,181,196,244,295
ENSG00000254122,4966,149,177,239,332,306,426
ENSG00000253873,5814,158,227,268,258,238,318
ENSG00000253159,4815,177,231,267,246,288,348
ENSG00000240184,5432,887,1028,1424,941,1015,1139
ENSG00000242419,4974,7,7,6,6,7,8
ENSG00000240764,4990,74,94,97,54,58,63
ENSG00000131504,7082,1736,2171,2651,1523,1702,1938
ENSG00000171720,4631,560,661,822,599,751,859
ENSG00000164620,2596,23,36,58,49,43,44
ENSG00000197948,6073,381,425,593,292,306,380
ENSG00000120318,6186,275,301,417,260,319,399
ENSG00000156453,5903,21,33,44,45,45,64
ENSG00000081791,6047,426,554,695,576,582,719
ENSG00000113555,6820,2,3,7,8,5,12
ENSG00000013561,4987,900,1027,1228,646,734,895
ENSG00000113552,3961,496,517,625,651,656,849
ENSG00000131507,6024,1071,1323,1617,1596,1736,2081
ENSG00000187678,5930,912,989,1240,3481,3723,4472
ENSG00000113578,5275,272,320,389,75,108,108
ENSG00000145819,13347,44,33,39,64,53,70
ENSG00000113580,9172,1289,1538,1954,2110,2208,2760
ENSG00000158497,384,0,0,0,0,0,0
ENSG00000145817,3701,1768,1885,2437,1958,2369,2642
ENSG00000183775,14294,26,36,38,8,22,13
ENSG00000186314,5375,34,51,53,12,13,16
ENSG00000204928,747,0,0,0,0,0,0
ENSG00000156463,7232,38,46,70,5,8,5
ENSG00000173261,656,3,0,3,2,4,4
ENSG00000133706,8118,1759,1867,2434,1297,1575,1684
ENSG00000275740,3311,0,0,0,0,1,0
ENSG00000091009,6578,243,330,357,191,228,262
ENSG00000091010,1182,1,0,0,0,0,0
ENSG00000113649,8714,747,877,1104,698,842,1026
ENSG00000173250,3088,1,0,0,0,1,0
ENSG00000156475,13206,0,0,3,1,1,0
ENSG00000169302,7776,3,3,2,0,2,0
ENSG00000113657,7164,2614,3024,3819,1591,1795,2093
ENSG00000176049,9275,1,1,0,1,2,0
ENSG00000164266,1480,0,0,0,0,0,0
ENSG00000164265,1075,0,0,0,0,0,0
ENSG00000178776,1232,2,4,4,0,1,4
ENSG00000133710,4381,0,0,0,0,0,0
ENSG00000196800,294,0,0,0,0,0,0
ENSG00000178172,733,0,0,0,0,0,0
ENSG00000214510,1174,0,0,0,0,0,0
ENSG00000145879,1545,0,0,0,0,0,0
ENSG00000204909,841,0,0,1,0,0,1
ENSG00000145868,8722,436,477,606,684,798,920
ENSG00000164270,7045,0,0,0,0,0,0
ENSG00000169252,3443,39,41,47,16,17,33
ENSG00000169247,15047,79,95,115,19,20,17
ENSG00000173210,7225,2334,2658,3259,3626,3929,4570
ENSG00000157510,4721,131,150,218,100,132,172
ENSG00000164284,4419,268,246,326,140,157,179
ENSG00000145882,6069,229,266,328,86,91,102
ENSG00000127743,1211,0,2,5,5,7,7
ENSG00000113712,7745,2180,2562,3406,1935,2377,2547
ENSG00000183111,5324,23,25,29,22,22,34
ENSG00000155846,12889,18,19,19,36,41,51
ENSG00000132915,7415,0,0,0,0,0,1
ENSG00000155850,8606,555,723,827,1057,1060,1333
ENSG00000164296,4640,89,96,116,88,101,93
ENSG00000113716,6263,983,1178,1372,1537,1629,1932
ENSG00000182578,5151,7,11,13,9,7,6
ENSG00000113721,7137,5063,5308,7309,15466,16949,19442
ENSG00000113722,1758,0,1,2,4,1,0
ENSG00000011083,4391,0,0,0,0,0,0
ENSG00000070808,6150,6,7,6,7,7,8
ENSG00000183876,3269,223,202,283,128,134,155
ENSG00000070814,11278,1003,1124,1500,745,793,960
ENSG00000019582,3184,3,5,4,0,9,5
ENSG00000164587,4544,5347,5688,7315,5325,6138,6784
ENSG00000070614,9529,5198,6122,7813,4446,5176,5592
ENSG00000171992,10258,1504,1613,2129,456,622,517
ENSG00000164591,6037,1,4,2,2,0,3
ENSG00000086589,3615,342,418,486,419,522,598
ENSG00000132912,6417,1215,1390,1732,2025,2181,2586
ENSG00000256235,2332,649,825,1052,1406,1645,1831
ENSG00000237693,2271,0,0,2,1,0,0
ENSG00000145908,4411,75,97,102,86,135,137
ENSG00000279109,69,1,0,0,0,0,0
ENSG00000211445,3163,49,52,64,92,93,114
ENSG00000145901,5793,1555,1916,2269,1631,1825,2063
ENSG00000197043,5427,8999,10040,12825,6767,7953,8714
ENSG00000198624,4993,30,42,43,63,67,81
ENSG00000196743,4479,470,583,688,520,619,637
ENSG00000186334,4575,0,0,0,0,0,0
ENSG00000186335,4263,0,0,0,0,0,1
ENSG00000123643,6980,540,586,725,1187,1208,1522
ENSG00000086570,14537,0,3,3,6,5,8
ENSG00000113140,4831,63401,69538,88459,72065,83795,87324
ENSG00000177556,5239,471,506,697,406,487,511
ENSG00000275765,1175,11,11,20,13,11,18
ENSG00000145907,12406,2521,3096,3733,3377,3763,4423
ENSG00000145888,2434,0,0,0,1,0,0
ENSG00000132911,2345,0,0,0,0,0,0
ENSG00000155511,7636,10,8,19,6,3,5
ENSG00000055147,6543,338,357,464,329,349,371
ENSG00000037749,4792,347,414,486,496,610,682
ENSG00000164574,10496,3648,4209,5200,4363,5233,5445
ENSG00000164576,6755,368,407,533,763,779,941
ENSG00000113196,1738,0,0,0,1,0,2
ENSG00000155506,8492,3994,4579,5759,4791,5302,5996
ENSG00000170271,7222,101,87,116,225,244,272
ENSG00000155508,3930,495,583,677,1204,1247,1581
ENSG00000082516,5637,486,546,697,325,371,418
ENSG00000082515,5267,194,234,300,225,272,267
ENSG00000226650,4378,3,1,1,0,0,1
ENSG00000170624,10584,630,749,978,407,652,538
ENSG00000279646,228,0,0,0,0,0,0
ENSG00000145850,1555,0,0,0,0,0,0
ENSG00000113249,2151,0,0,0,0,0,0
ENSG00000135077,3804,0,3,2,2,3,2
ENSG00000155868,2913,114,139,189,153,142,188
ENSG00000113263,8604,0,0,0,0,0,0
ENSG00000170613,2515,0,0,0,0,0,0
ENSG00000055163,10582,218,212,324,376,419,461
ENSG00000172568,2285,0,1,0,0,1,0
ENSG00000135074,7704,6555,7834,9516,17469,19347,22411
ENSG00000172548,4208,9,9,16,1,3,2
ENSG00000039600,3471,1,3,1,0,0,3
ENSG00000187658,686,0,0,0,0,0,0
ENSG00000113272,3220,130,166,171,128,145,160
ENSG00000155858,6584,127,155,166,186,219,252
ENSG00000113282,6368,1871,2191,2596,977,1260,1341
ENSG00000164330,6178,38,29,35,222,242,311
ENSG00000145860,4614,1495,1746,2150,2655,2924,3487
ENSG00000164332,2676,485,588,685,822,984,1062
ENSG00000113302,2761,0,0,1,0,0,0
ENSG00000170214,1738,32,20,28,3,11,3
ENSG00000113312,1938,597,699,821,580,714,811
ENSG00000170234,6510,268,307,336,400,369,521
ENSG00000170231,1164,0,0,0,0,0,0
ENSG00000135083,4736,122,133,179,205,221,298
ENSG00000145861,2414,28,32,39,2,5,4
ENSG00000221886,2925,71,64,80,44,47,44
ENSG00000164609,5082,472,538,655,733,812,969
ENSG00000164611,2013,371,444,595,61,82,89
ENSG00000118322,11310,0,0,0,0,0,0
ENSG00000145864,10002,0,0,0,0,0,0
ENSG00000145863,3738,0,0,0,0,0,0
ENSG00000022355,5494,0,0,0,0,0,0
ENSG00000113327,4447,0,0,0,0,0,0
ENSG00000113328,3096,2487,2858,3531,3422,4247,4751
ENSG00000170584,8847,180,234,282,215,253,283
ENSG00000072571,3936,278,360,437,28,50,48
ENSG00000038274,5153,825,918,1100,1275,1528,1685
ENSG00000145934,11070,2,4,5,3,6,2
ENSG00000113645,10076,159,183,265,67,73,71
ENSG00000113643,3421,1831,2135,2514,1737,1973,2151
ENSG00000188573,1519,2,0,3,2,2,3
ENSG00000120137,10580,1038,1147,1425,2463,2724,3474
ENSG00000184347,14260,11,15,20,43,32,40
ENSG00000040275,4777,463,584,747,671,764,988
ENSG00000134516,12890,15,20,24,18,21,23
ENSG00000204767,2999,113,117,167,203,201,310
ENSG00000168269,2312,0,0,0,0,0,0
ENSG00000043462,7244,0,0,0,0,0,0
ENSG00000182132,3126,0,0,0,1,0,0
ENSG00000145936,6079,0,0,0,0,0,0
ENSG00000094755,4621,0,0,0,0,0,0
ENSG00000204764,10993,131,139,182,138,185,233
ENSG00000275038,2775,0,0,0,0,0,0
ENSG00000164438,1493,0,0,0,0,0,0
ENSG00000181163,3828,9846,11844,14099,10670,12037,13659
ENSG00000156427,1986,2,5,4,3,5,5
ENSG00000185662,468,0,0,0,0,0,0
ENSG00000072803,5577,1025,1222,1505,1708,2067,2423
ENSG00000072786,9083,975,1081,1411,814,931,1065
ENSG00000214360,702,0,1,2,0,0,0
ENSG00000168246,3301,469,529,639,471,546,666
ENSG00000174705,7977,1326,1536,1869,1477,1724,1931
ENSG00000214357,6424,125,142,198,33,35,35
ENSG00000120129,2019,1069,1232,1742,2526,3097,3855
ENSG00000113719,14139,4484,5015,6533,4475,4821,5553
ENSG00000037241,1164,301,343,391,301,357,422
ENSG00000113732,1623,1762,1972,2384,3209,3605,4066
ENSG00000164463,12333,170,167,265,573,556,700
ENSG00000113734,2440,130,173,232,123,152,160
ENSG00000183072,2094,0,0,0,0,0,0
ENSG00000113739,6128,6307,6328,8153,6938,8018,9443
ENSG00000145919,2018,682,737,986,1172,1246,1483
ENSG00000113742,10272,376,440,536,1195,1335,1666
ENSG00000185056,2758,0,0,0,0,0,0
ENSG00000170091,3946,0,0,0,1,1,0
ENSG00000120149,2270,66,69,82,146,160,194
ENSG00000184845,4054,12,25,25,31,39,56
ENSG00000164466,7572,1466,1827,2192,1123,1441,1528
ENSG00000113749,2565,0,0,0,0,0,1
ENSG00000145920,7099,0,0,0,0,0,0
ENSG00000051596,3453,140,165,197,65,89,92
ENSG00000182230,10769,0,0,0,0,0,0
ENSG00000170085,5536,130,163,224,117,113,154
ENSG00000122203,3973,1859,2105,2752,2580,2879,3500
ENSG00000175414,11459,449,540,621,599,677,792
ENSG00000048162,2862,174,232,289,238,211,315
ENSG00000146066,668,219,285,359,403,437,554
ENSG00000175416,2039,1295,1434,1798,1172,1284,1459
ENSG00000113194,5954,1413,1524,1925,804,950,1018
ENSG00000146083,5660,260,248,348,385,408,483
ENSG00000074276,5348,11,28,15,21,21,21
ENSG00000169258,4211,256,302,398,294,302,354
ENSG00000074317,2006,9,9,11,35,33,49
ENSG00000175766,3296,0,0,0,0,0,0
ENSG00000048140,5215,1015,1236,1530,1252,1407,1695
ENSG00000113763,4356,0,1,1,0,0,3
ENSG00000160883,3290,0,0,1,0,1,0
ENSG00000087206,4739,299,350,434,492,548,671
ENSG00000113761,4686,216,246,302,152,194,234
ENSG00000160867,4829,16,14,20,22,21,31
ENSG00000165671,15242,1142,1377,1544,1017,1080,1164
ENSG00000169228,2065,55,69,94,106,111,144
ENSG00000213347,5154,57,54,78,18,20,26
ENSG00000169230,1875,862,915,1267,672,766,889
ENSG00000169223,2357,1735,1875,2452,2454,2653,3133
ENSG00000169220,3797,8,12,10,11,16,17
ENSG00000131183,4529,0,0,0,0,0,0
ENSG00000196570,530,0,0,0,0,0,0
ENSG00000131187,2769,13,8,13,12,11,13
ENSG00000198055,4355,555,653,837,598,623,814
ENSG00000131188,1772,83,87,129,119,135,169
ENSG00000113758,5119,5647,6408,8309,6747,7678,9011
ENSG00000196923,4407,3037,3555,4595,2128,2525,2731
ENSG00000146094,4821,33,28,61,42,38,58
ENSG00000183258,4536,699,806,1036,869,889,1125
ENSG00000146067,5804,255,295,393,313,321,375
ENSG00000184840,2440,3356,3665,4803,3860,4366,4807
ENSG00000027847,4927,534,592,713,403,412,509
ENSG00000170074,8528,0,0,0,0,1,0
ENSG00000175325,1464,0,0,0,0,0,0
ENSG00000204677,4285,0,0,0,0,1,0
ENSG00000145911,6080,5,4,5,2,7,9
ENSG00000145916,7701,220,253,321,179,237,242
ENSG00000145912,1510,422,483,555,433,478,551
ENSG00000197451,2161,2048,2411,2992,1287,1482,1704
ENSG00000175309,8402,113,136,159,169,170,200
ENSG00000050767,3586,0,0,0,0,0,0
ENSG00000113240,7924,98,91,111,190,186,217
ENSG00000169131,2947,92,110,137,144,173,209
ENSG00000178338,3750,53,54,81,78,103,113
ENSG00000198939,2641,3,1,3,2,2,6
ENSG00000178187,2662,3,3,5,10,10,21
ENSG00000113262,6695,0,0,1,3,2,0
ENSG00000234284,3883,21,29,26,25,21,37
ENSG00000177932,5411,158,144,182,203,218,274
ENSG00000087116,7687,2116,2459,3347,3936,4462,5063
ENSG00000176783,5911,500,534,742,396,440,469
ENSG00000169045,9480,3161,3579,4600,2109,2568,2890
ENSG00000204659,785,1,0,0,1,0,0
ENSG00000127022,6235,13401,14884,18830,18376,20259,23885
ENSG00000161021,10690,559,681,804,876,879,1063
ENSG00000213316,1192,0,0,0,0,0,0
ENSG00000161013,5495,2879,3116,4057,5804,6043,7425
ENSG00000161011,7654,3672,4174,5033,7590,7965,10241
